,ID,Points,Minutes,sim
12,20,3,90,7
13,28,11,90,7
14,29,9,90,7
15,35,6,90,7
16,36,6,90,7
17,38,6,90,7
18,44,6,90,7
19,47,6,90,7
20,52,6,90,7
21,53,8,90,7
22,57,3,90,7
23,58,16,90,7
24,64,3,90,7
25,70,6,90,7
26,71,3,90,7
27,77,3,90,7
28,78,3,90,7
29,79,6,90,7
30,82,2,90,7
31,83,3,90,7
32,85,6,90,7
33,88,1,90,7
34,91,1,90,7
35,94,5,90,7
36,99,14,90,7
37,101,7,90,7
38,104,1,90,7
39,105,1,90,7
40,106,10,90,7
41,111,5,90,7
42,115,2,90,7
43,120,2,90,7
44,122,3,90,7
45,128,2,90,7
46,135,5,90,7
47,136,2,90,7
48,145,2,90,7
49,146,2,90,7
50,148,2,90,7
51,149,2,90,7
52,152,6,90,7
53,157,2,90,7
54,159,6,90,7
55,162,2,90,7
56,163,5,90,7
57,167,2,90,7
58,168,2,90,7
59,180,2,90,7
60,182,2,90,7
61,185,2,90,7
62,188,2,90,7
63,189,3,90,7
64,191,-1,90,7
65,192,3,90,7
