,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2765,14,231,Alisson,1,Liverpool,Liverpool,14,60,2
2766,14,43,Buendía,3,Aston Villa,Aston Villa,7,62,2
2771,14,291,Shelvey,3,Newcastle,Newcastle,4,53,2
2782,14,525,A.Armstrong,4,Southampton,Southampton,20,57,2
2783,14,516,Sargent,4,Norwich,Norwich,45,54,2
2793,14,307,Saint-Maximin,4,Newcastle,Newcastle,4,68,2
2799,14,425,Johnson,2,West Ham,West Ham,21,39,2
2803,14,310,Joelinton,4,Newcastle,Newcastle,4,58,2
2807,14,254,Mahrez,3,Man City,Man City,43,87,2
2828,14,456,Gibson,2,Norwich,Norwich,45,44,2
2859,14,334,McCarthy,1,Southampton,Southampton,20,43,2
2863,14,62,Veltman,2,Brighton,Brighton,36,42,2
2865,14,188,Dallas,3,Leeds,Leeds,2,49,2
2871,14,584,Cucurella,2,Brighton,Brighton,36,50,2
2874,14,78,Toney,4,Brentford,Brentford,94,67,2
2875,14,59,Dunk,2,Brighton,Brighton,36,48,2
2880,14,586,Edouard,4,Crystal Palace,Crystal Palace,31,62,2
2885,14,146,Guaita,1,Crystal Palace,Crystal Palace,31,46,2
2899,14,237,Alexander-Arnold,2,Liverpool,Liverpool,14,85,2
2903,14,150,Kouyaté,2,Crystal Palace,Crystal Palace,31,45,2
2927,14,53,Lallana,3,Brighton,Brighton,36,53,2
2974,14,357,Kane,4,Spurs,Spurs,6,125,2
2977,14,215,Barnes,3,Leicester,Leicester,13,66,2
2985,14,404,João Pedro,4,Watford,Watford,57,54,2
2990,14,162,Mitchell,2,Crystal Palace,Crystal Palace,31,45,2
2992,14,133,Christensen,2,Chelsea,Chelsea,8,46,2
2994,14,270,de Gea,1,Man Utd,Man Utd,1,51,2
3018,14,70,Bissouma,3,Brighton,Brighton,36,44,2
3058,14,556,Fernández,1,Brentford,Brentford,94,45,2
3063,14,200,Schmeichel,1,Leicester,Leicester,13,48,2
3069,14,485,Sancho,3,Man Utd,Man Utd,1,89,2
3070,14,128,Zouma,2,West Ham,West Ham,21,54,2
