,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1483,22,352,Naughton,2,16,Swansea,80,46,0
1489,22,4,Koscielny,2,1,Arsenal,3,60,0
1523,22,340,Arnautovic,3,20,West Ham,21,71,0
1532,22,358,Olsson,2,16,Swansea,80,50,0
1534,22,144,Holgate,2,7,Everton,11,40,0
1545,22,432,Phillips,3,19,West Brom,35,54,0
1564,22,356,van der Hoorn,2,16,Swansea,80,44,0
1568,22,234,Salah,3,10,Liverpool,14,106,0
1580,22,10,Monreal,2,1,Arsenal,3,57,0
1620,22,109,Pedro,3,5,Chelsea,8,77,0
1624,22,226,Coutinho,3,10,Liverpool,14,91,0
1634,22,345,Sobhi,3,15,Stoke,110,45,0
1653,22,285,Lukaku,4,12,Man Utd,1,115,0
1658,22,47,Fraser,3,2,Bournemouth,91,51,0
1668,22,314,McQueen,2,14,Southampton,20,42,0
1674,22,462,Malone,2,8,Huddersfield,38,43,0
1682,22,532,Aurier,2,17,Spurs,6,59,0
1696,22,66,March,3,3,Brighton,36,48,0
1745,22,525,Hoedt,2,14,Southampton,20,50,0
2138,23,340,Arnautovic,3,20,West Ham,21,71,16
1814,23,267,Valencia,2,12,Man Utd,1,69,15
2022,23,317,Ward-Prowse,3,14,Southampton,20,49,15
2062,23,423,Evans,2,19,West Brom,35,49,15
1882,23,424,Dawson,2,19,West Brom,35,48,14
2130,23,453,Lanzini,3,20,West Ham,21,66,14
1985,23,394,Kane,4,17,Spurs,6,131,13
1991,23,390,Son,3,17,Spurs,6,83,13
1997,23,253,Gündogan,3,11,Man City,43,54,13
1790,23,19,Chamberlain,3,10,Liverpool,14,55,12
1811,23,280,Martial,3,12,Man Utd,1,78,12
1848,23,48,Wilson,4,2,Bournemouth,91,56,12
2088,23,189,Schmeichel,1,9,Leicester,13,51,11
2180,23,234,Salah,3,10,Liverpool,14,106,11
2223,23,282,Pogba,3,12,Man Utd,1,79,11
1770,23,414,Doucouré,3,18,Watford,57,52,9
1825,23,130,Sako,3,6,Crystal Palace,31,48,9
1863,23,387,Eriksen,3,17,Spurs,6,97,9
2067,23,45,Ibe,3,2,Bournemouth,91,46,9
2286,23,532,Aurier,2,17,Spurs,6,59,9
2319,23,269,Fosu-Mensah,2,6,Crystal Palace,31,44,9
1994,23,7,Bellerín,2,1,Arsenal,3,59,8
2064,23,373,Jordan Ayew,4,16,Swansea,80,54,8
2131,23,100,Alonso,2,5,Chelsea,8,71,8
2142,23,450,Noble,3,20,West Ham,21,53,8
2251,23,235,Firmino,4,10,Liverpool,14,95,8
2341,23,115,Hennessey,1,6,Crystal Palace,31,44,8
1779,23,468,Hegazi,2,19,West Brom,35,46,7
1832,23,421,Foster,1,19,West Brom,35,43,7
1885,23,97,Azpilicueta,2,5,Chelsea,8,69,7
1907,23,260,De Gea,1,12,Man Utd,1,59,7
2051,23,176,Lolley,3,8,Huddersfield,38,43,7
