,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
727,369,31,Routledge,3,16,Swansea,80,45,8
87,48,31,King,3,2,Bournemouth,91,62,7
287,153,31,Maguire,2,7,Hull,88,44,7
312,165,31,Schmeichel,1,8,Leicester,13,49,7
317,168,31,Fuchs,2,8,Leicester,13,53,7
397,203,31,Coutinho,3,9,Liverpool,14,87,7
427,217,31,Origi,4,9,Liverpool,14,60,7
562,272,31,Ibrahimovic,4,11,Man Utd,1,114,7
592,290,31,de Roon,3,12,Middlesbrough,25,43,7
632,306,31,Ward-Prowse,3,13,Southampton,20,50,7
802,402,31,Son,3,17,Spurs,6,72,7
822,408,31,Cathcart,2,18,Watford,57,43,7
1022,563,31,Traoré,3,12,Middlesbrough,25,48,7
1027,567,31,Slimani,4,8,Leicester,13,82,7
12,10,31,Monreal,2,1,Arsenal,3,59,6
97,54,31,Heaton,1,3,Burnley,90,51,6
102,55,31,Lowton,2,3,Burnley,90,45,6
272,145,31,Niasse,4,7,Hull,88,55,6
327,172,31,Simpson,2,8,Leicester,13,49,6
332,173,31,Huth,2,8,Leicester,13,49,6
337,174,31,Benalouane,2,8,Leicester,13,40,6
432,219,31,Caballero,1,10,Man City,43,48,6
462,230,31,Silva,3,10,Man City,43,86,6
702,358,31,Naughton,2,16,Swansea,80,44,6
817,407,31,Gomes,1,18,Watford,57,49,6
832,411,31,Holebas,2,18,Watford,57,46,6
942,478,31,Negredo,4,12,Middlesbrough,25,61,6
1012,560,31,Hendrick,3,3,Burnley,90,53,6
1101,657,31,Martinez,1,1,Arsenal,3,39,6
7,6,31,Bellerín,2,1,Arsenal,3,65,5
47,25,31,Giroud,4,1,Arsenal,3,81,5
112,57,31,Ward,2,3,Burnley,90,45,5
142,77,31,Azpilicueta,2,4,Chelsea,8,64,5
417,209,31,Firmino,3,9,Liverpool,14,85,5
422,213,31,Christian Benteke,4,5,Crystal Palace,31,72,5
627,305,31,Davis,3,13,Southampton,20,51,5
952,485,31,Wijnaldum,3,9,Liverpool,14,75,5
967,504,31,Stephens,2,13,Southampton,20,42,5
997,555,31,Mustafi,2,1,Arsenal,3,58,5
1097,647,31,Grosicki,3,7,Hull,88,55,5
37,18,31,Chamberlain,3,1,Arsenal,3,58,4
137,73,31,Courtois,1,4,Chelsea,8,59,4
282,152,31,Robertson,2,7,Hull,88,44,4
497,247,31,Shaw,2,11,Man Utd,1,52,4
517,255,31,Bailly,2,11,Man Utd,1,55,4
617,301,31,Cédric,2,13,Southampton,20,49,4
812,405,31,Janssen,4,17,Spurs,6,75,4
1087,642,31,Ayew,4,16,Swansea,80,50,4
17,12,31,Sánchez,3,1,Arsenal,3,117,3
42,24,31,Xhaka,3,1,Arsenal,3,52,3
52,29,31,Boruc,1,2,Bournemouth,91,45,3
247,133,31,Mirallas,3,6,Everton,11,59,3
252,134,31,Barkley,3,6,Everton,11,70,3
257,135,31,Cleverley,3,18,Watford,57,51,3
342,176,31,Mahrez,3,8,Leicester,13,89,3
352,179,31,Drinkwater,3,8,Leicester,13,53,3
357,181,31,Gray,3,8,Leicester,13,48,3
492,242,31,de Gea,1,11,Man Utd,1,55,3
572,278,31,Gibson,2,12,Middlesbrough,25,49,3
662,340,31,Pickford,1,15,Sunderland,56,42,3
842,413,31,Britos,2,18,Watford,57,42,3
847,416,31,Capoue,3,18,Watford,57,45,3
852,422,31,Amrabat,3,18,Watford,57,50,3
947,482,31,Doucouré,3,18,Watford,57,46,3
1057,628,31,Ndidi,3,8,Leicester,13,46,3
62,32,31,Steve Cook,2,2,Bournemouth,91,48,2
82,38,31,Pugh,3,2,Bournemouth,91,46,2
127,67,31,Vokes,4,3,Burnley,90,57,2
132,68,31,Gray,4,3,Burnley,90,60,2
147,78,31,Cahill,2,4,Chelsea,8,67,2
157,83,31,Fàbregas,3,4,Chelsea,8,70,2
172,90,31,Pedro,3,4,Chelsea,8,68,2
182,97,31,Costa,4,4,Chelsea,8,104,2
187,100,31,Hennessey,1,5,Crystal Palace,31,43,2
207,110,31,Puncheon,3,5,Crystal Palace,31,51,2
212,111,31,Zaha,3,5,Crystal Palace,31,58,2
232,125,31,Baines,2,6,Everton,11,58,2
262,140,31,Oviedo,3,15,Sunderland,56,42,2
267,143,31,Lukaku,4,6,Everton,11,101,2
402,204,31,Can,3,9,Liverpool,14,48,2
412,208,31,Milner,3,9,Liverpool,14,63,2
472,232,31,Navas,3,10,Man City,43,61,2
477,233,31,Fernandinho,3,10,Man City,43,53,2
482,235,31,De Bruyne,3,10,Man City,43,105,2
502,248,31,Rojo,2,11,Man Utd,1,52,2
527,257,31,Fellaini,3,11,Man Utd,1,58,2
532,259,31,Carrick,3,11,Man Utd,1,42,2
542,262,31,Herrera,3,11,Man Utd,1,62,2
547,266,31,Lingard,3,11,Man Utd,1,56,2
557,271,31,Rashford,4,11,Man Utd,1,64,2
582,282,31,Downing,3,12,Middlesbrough,25,48,2
597,294,31,Forster,1,13,Southampton,20,50,2
637,308,31,Tadic,3,13,Southampton,20,69,2
652,331,31,Arnautovic,3,14,Stoke,110,71,2
677,350,31,Rodwell,3,15,Sunderland,56,43,2
687,354,31,Borini,4,15,Sunderland,56,51,2
692,355,31,Defoe,4,15,Sunderland,56,74,2
697,356,31,Fabianski,1,16,Swansea,80,48,2
707,359,31,Williams,2,6,Everton,11,52,2
717,367,31,Cork,3,16,Swansea,80,46,2
722,368,31,Sigurdsson,3,16,Swansea,80,74,2
732,374,31,Ayew,3,20,West Ham,21,71,2
737,375,31,Fer,3,16,Swansea,80,48,2
747,382,31,Alderweireld,2,17,Spurs,6,64,2
752,384,31,Walker,2,17,Spurs,6,62,2
757,385,31,Vertonghen,2,17,Spurs,6,58,2
762,386,31,Davies,2,17,Spurs,6,50,2
777,391,31,Dembélé,3,17,Spurs,6,54,2
782,392,31,Chadli,3,19,West Brom,35,58,2
792,397,31,Carroll,3,16,Swansea,80,41,2
887,439,31,Fletcher,3,19,West Brom,35,44,2
892,448,31,Berahino,4,14,Stoke,110,60,2
897,451,31,Randolph,1,20,West Ham,21,44,2
912,459,31,Kouyaté,3,20,West Ham,21,50,2
922,468,31,Carroll,4,20,West Ham,21,59,2
962,489,31,Sané,3,10,Man City,43,77,2
1017,561,31,Alonso,2,4,Chelsea,8,69,2
1032,570,31,David Luiz,2,4,Chelsea,8,62,2
